symbol,name
RELIANCE.NS,Reliance Industries
TCS.NS,Tata Consultancy Services
HDFCBANK.NS,HDFC Bank
ICICIBANK.NS,ICICI Bank
INFY.NS,Infosys
HINDUNILVR.NS,Hindustan Unilever
ITC.NS,ITC
SBIN.NS,State Bank of India
BHARTIARTL.NS,Bharti Airtel
KOTAKBANK.NS,Kotak Mahindra Bank
LT.NS,Larsen & Toubro
AXISBANK.NS,Axis Bank
BAJFINANCE.NS,Bajaj Finance
ASIANPAINT.NS,Asian Paints
MARUTI.NS,Maruti Suzuki
HCLTECH.NS,HCL Technologies
SUNPHARMA.NS,Sun Pharmaceutical
TITAN.NS,Titan Company
ULTRACEMCO.NS,UltraTech Cement
WIPRO.NS,Wipro
NESTLEIND.NS,Nestle India
ONGC.NS,Oil & Natural Gas Corp
NTPC.NS,NTPC
POWERGRID.NS,Power Grid Corp
M&M.NS,Mahindra & Mahindra
TATAMOTORS.NS,Tata Motors
TATASTEEL.NS,Tata Steel
JSWSTEEL.NS,JSW Steel
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports
COALINDIA.NS,Coal India
BAJAJFINSV.NS,Bajaj Finserv
HDFCLIFE.NS,HDFC Life Insurance
SBILIFE.NS,SBI Life Insurance
TECHM.NS,Tech Mahindra
GRASIM.NS,Grasim Industries
INDUSINDBK.NS,IndusInd Bank
DRREDDY.NS,Dr Reddy's Laboratories
CIPLA.NS,Cipla
BRITANNIA.NS,Britannia Industries
DIVISLAB.NS,Divi's Laboratories
EICHERMOT.NS,Eicher Motors
HEROMOTOCO.NS,Hero MotoCorp
BAJAJ-AUTO.NS,Bajaj Auto
HINDALCO.NS,Hindalco Industries
TATACONSUM.NS,Tata Consumer Products
APOLLOHOSP.NS,Apollo Hospitals
BPCL.NS,Bharat Petroleum
IOC.NS,Indian Oil Corp
SHRIRAMFIN.NS,Shriram Finance
LTIM.NS,LTIMindtree
ADANIGREEN.NS,Adani Green Energy
ADANIPOWER.NS,Adani Power
DLF.NS,DLF
VEDL.NS,Vedanta
GAIL.NS,GAIL India
PIDILITIND.NS,Pidilite Industries
SIEMENS.NS,Siemens
GODREJCP.NS,Godrej Consumer Products
DABUR.NS,Dabur India
HAVELLS.NS,Havells India
AMBUJACEM.NS,Ambuja Cements
BANKBARODA.NS,Bank of Baroda
ICICIPRULI.NS,ICICI Prudential Life
ICICIGI.NS,ICICI Lombard
PNB.NS,Punjab National Bank
TVSMOTOR.NS,TVS Motor
ETERNAL.NS,Eternal (formerly Zomato)
DMART.NS,Avenue Supermarts
BEL.NS,Bharat Electronics
TRENT.NS,Trent
HAL.NS,Hindustan Aeronautics
NAUKRI.NS,Info Edge
CHOLAFIN.NS,Cholamandalam Investment
SRF.NS,SRF
TORNTPHARM.NS,Torrent Pharmaceuticals
BERGEPAINT.NS,Berger Paints
MARICO.NS,Marico
COLPAL.NS,Colgate-Palmolive India
BOSCHLTD.NS,Bosch
INDIGO.NS,InterGlobe Aviation
MOTHERSON.NS,Samvardhana Motherson
PGHH.NS,Procter & Gamble Hygiene
PAGEIND.NS,Page Industries
JINDALSTEL.NS,Jindal Steel & Power
NMDC.NS,NMDC
SAIL.NS,Steel Authority of India
UPL.NS,UPL
AUROPHARMA.NS,Aurobindo Pharma
LUPIN.NS,Lupin
BIOCON.NS,Biocon
ALKEM.NS,Alkem Laboratories
MUTHOOTFIN.NS,Muthoot Finance
BANDHANBNK.NS,Bandhan Bank
IDFCFIRSTB.NS,IDFC First Bank
AUBANK.NS,AU Small Finance Bank
FEDERALBNK.NS,Federal Bank
GODREJPROP.NS,Godrej Properties
OBEROIRLTY.NS,Oberoi Realty
PHOENIXLTD.NS,Phoenix Mills
LODHA.NS,Macrotech Developers
PERSISTENT.NS,Persistent Systems
COFORGE.NS,Coforge
MPHASIS.NS,Mphasis
TATAPOWER.NS,Tata Power
TATACOMM.NS,Tata Communications
PETRONET.NS,Petronet LNG
PIIND.NS,PI Industries
DEEPAKNTR.NS,Deepak Nitrite
AARTIIND.NS,Aarti Industries
BALKRISIND.NS,Balkrishna Industries
ASHOKLEY.NS,Ashok Leyland
BHARATFORG.NS,Bharat Forge
CUMMINSIND.NS,Cummins India
ABB.NS,ABB India
POLYCAB.NS,Polycab India
DIXON.NS,Dixon Technologies
ASTRAL.NS,Astral
SUPREMEIND.NS,Supreme Industries
